7,2140,-406,7176
14,2168,-412,7232
20,2236,-338,7294
26,2106,-340,7188
33,2066,-366,7274
40,2098,-292,7148
47,2050,-306,7150
54,1980,-302,7006
61,1940,-394,7118
68,1978,-328,7142
74,2024,-350,7154
81,2218,-410,7208
88,2206,-410,7222
95,2212,-380,7326
102,2404,-434,7506
109,2238,-534,7254
116,1964,-480,7184
123,1800,-392,6982
130,1824,-378,7092
137,1982,-360,7100
144,1864,-332,7034
151,1814,-400,6952
158,1566,-426,6968
165,1788,-462,7132
172,1916,-346,7088
178,2060,-360,7254
185,2012,-336,7188
192,2024,-342,7234
199,2094,-342,7316
206,2402,-390,7522
213,2280,-452,7414
220,2152,-410,7304
227,2094,-324,7610
236,2326,-334,7846
243,2874,-306,8224
248,3570,-426,8824
255,2970,-500,8858
262,2698,-408,8086
269,1952,-2330,9128
276,3610,1088,10804
283,7084,1828,10674
289,4150,176,7176
296,2500,-338,11164
303,4592,-3984,10508
310,3912,-4688,8988
317,2440,-3954,10336
324,2394,-2748,10362
331,1652,-1662,9640
339,468,-378,9228
345,-674,-30,9900
352,-1904,-448,10548
359,-2842,-966,11488
366,-3104,-1048,12518
373,-3632,-976,12734
379,-4586,-1204,12372
386,-5148,-1194,11764
393,-5672,-1266,11354
400,-5974,-996,10436
407,-6068,-470,9940
414,-6062,-246,9904
421,-5618,-440,10374
428,-5022,-872,10794
435,-4418,-1218,11254
442,-3798,-1612,11318
449,-3300,-1742,11118
456,-3050,-1832,10530
463,-3120,-1926,9636
470,-3142,-1760,8842
477,-3076,-1638,8352
484,-2726,-1504,8096
491,-2502,-1444,7942
498,-2234,-1146,7704
505,-1772,-872,7608
512,-1660,-770,7766
519,-1384,-714,7480
525,-1326,-750,7056
532,-1186,-778,6742
539,-938,-666,5768
546,-1104,-460,5544
553,-926,-80,4880
560,-832,172,4368
567,-728,428,4084
627,-348,750,3872
628,-44,968,3386
630,86,1238,2872
631,194,1482,2442
633,360,1558,2246
634,600,1620,2374
636,864,1504,3368
637,1526,1432,4426
639,2068,1242,5244
640,2266,944,5832
644,2688,710,6330
650,3312,374,6750
657,3702,106,6396
664,3642,-20,5310
671,3380,-8,4150
678,3346,-160,2978
685,3402,-408,2076
693,3224,-838,2198
699,3946,-1218,4408
706,5780,-1596,6554
713,6862,-2058,7122
720,6848,-2402,6454
727,6718,-2612,5678
734,6958,-2602,4534
741,6902,-2294,2872
749,6678,-1976,2650
755,7586,-1526,3956
762,8936,-1070,4782
769,9114,-872,4598
776,8602,-958,4202
783,8842,-1096,4414
789,9048,-1428,4118
798,8494,-1790,3418
803,-8352,12568,-8868
810,-7298,-2404,-2056
817,-4032,-6168,4310
824,-7730,-2964,3072
832,420,-4780,6142
838,5416,-2766,7674
845,7370,-4560,10090
852,7844,-3258,11470
859,6818,1150,14178
866,8524,4780,21296
873,13632,2512,23654
880,12662,-2790,19764
887,8262,-5770,14876
893,4982,-5064,11122
900,204,-7046,11438
907,10404,-5570,12944
914,7100,-1094,10056
921,4050,576,10028
928,8488,2302,12038
935,6106,1084,10092
942,1176,-1510,7388
949,1502,-1942,7188
956,3456,-404,8318
963,2608,676,7750
970,2464,228,7706
977,2324,-838,7486
984,2130,-1004,7446
991,2230,-796,7372
998,2018,-664,7262
1015,2092,-724,7430
1016,2322,-310,7532
1020,2302,-198,7482
1025,2112,-366,7424
1032,2160,-500,7376
1040,2198,-268,7306
1046,2364,-248,7380
1053,2190,-294,7244
1060,2292,-270,7324
1067,2248,-226,7342
1074,2232,-290,7270
1081,2068,-448,7188
1088,2078,-514,7310
1095,2130,-458,7144
1103,2258,-282,7262
1109,2304,-394,7400
1116,2222,-472,7332
1123,2250,-444,7324
1130,2136,-474,7144
1137,2128,-546,7208
1144,2040,-504,7172
1151,1958,-510,7132
1158,2064,-600,7152
1165,2232,-552,7062
1171,2088,-540,6994
1178,2022,-602,7132
1185,2032,-650,7070
1192,2144,-612,7144
1199,2144,-530,7174
1206,2184,-418,7240
1213,2130,-434,7132
1220,2110,-488,7050
1227,2076,-402,7118
1234,2114,-330,7190
1241,2138,-514,7198
1248,2092,-576,7202
1255,2124,-530,7198
1262,2124,-556,7086
1269,2228,-580,7258
1276,2188,-596,7270
1283,2196,-536,7186
1289,2190,-544,7122
1296,2164,-452,7126
1303,2158,-412,7124
1310,2124,-466,7308
1317,2172,-446,7244
1324,2206,-424,7214
1331,1952,-888,7406
1338,2270,-454,7184
1345,2074,-502,7074
1352,2220,-484,7228
1359,2052,-332,6970
1366,2120,-470,7138
1373,2116,-438,7194
1380,2168,-490,7132
1387,1992,-486,7146
1394,2008,-454,7146
1401,1994,-528,7118
1408,2000,-474,7088
1415,1950,-1028,6990
1421,2070,-512,7166
1428,1976,-542,7144
1435,2056,-548,7202
1442,2178,-498,7246
1449,2094,-444,7124
1456,2000,-418,7184
1463,1914,-574,7096
1470,1872,-676,7276
1477,1982,-866,7222
1484,1726,-560,7142
1491,2502,-744,7306
1498,1618,-130,7370
1504,1284,-210,7394
1511,2134,-162,7356
1518,1604,-186,7336
1525,1842,-420,7270
1532,2580,24,7036
1539,2192,-452,6928
1546,3666,126,7132
1553,4218,-112,6400
1560,6802,-364,6212
1568,4494,-508,5656
1574,2928,-1142,5630
1581,1592,1282,5760
1588,-7632,1196,6680
1595,9912,-4632,2284
1602,-9388,8226,15624
1609,-2812,-5494,3646
1616,5656,-5338,4004
1623,19200,-16194,-13822
1630,-14112,5296,10988
1637,-9792,-1148,12806
1644,-5924,-248,9928
1651,12122,-2412,9522
1658,-2360,-4328,18016
1664,2226,-5582,16584
1671,2392,-3696,19282
1678,6534,-1346,16160
1685,3764,-668,27030
1692,2360,-3726,20546
1699,1844,-4438,14448
1706,1724,-4468,12970
1713,744,-5398,12764
1720,5456,-6824,4726
1727,-18696,-8614,30368
1734,32767,32767,-19260
1741,20958,-14638,31896
1747,10694,-2342,29194
1754,9042,-1682,27110
1761,10160,-1414,25512
1768,6670,-2636,22222
1775,3342,-3184,17374
1782,1872,-2658,12486
1789,636,-1936,8954
1796,-486,-1224,6332
1803,-1010,-484,4448
1810,-1096,276,3710
1817,-992,932,3114
1824,-1054,1350,2686
1831,-1422,1752,2600
1838,-1156,1908,2514
1844,-742,2212,2952
1851,-348,2232,3572
1858,190,2050,4010
1865,778,1918,4452
1872,1228,1532,4596
