5,2126,-148,7174
15,2176,-116,7176
16,2216,-106,7242
23,2148,-124,7178
31,2144,-112,7108
37,2174,-100,7162
43,2160,-58,7090
51,2122,-112,7180
58,2130,-108,7082
67,2190,-82,7118
74,2184,-88,7166
80,2118,-98,7216
85,2198,-126,7070
92,2150,-126,7076
99,2164,-130,7144
106,2190,-168,7092
113,2190,-58,7076
119,2152,-78,7138
126,2158,-44,7162
133,2108,-96,7136
140,2144,-94,7148
147,2196,-142,7238
154,2174,-134,7180
161,2162,-108,7194
168,2134,-114,7200
175,2188,-62,7170
181,2178,-64,7174
188,2228,-98,7170
195,2188,-100,7170
202,2152,-98,7218
209,2218,-38,7192
216,2196,-92,7152
223,2156,-86,7220
232,2222,-58,7110
239,2134,-66,7186
244,2134,-108,7136
251,2128,-120,7122
258,2144,-156,7200
265,2132,-172,7106
278,2214,-154,7124
280,2156,-170,7104
287,2134,-222,7160
292,2198,-138,7052
301,2130,-122,7086
306,2184,-174,7210
313,2160,-124,7160
320,2132,-128,7126
327,2194,-146,7128
334,2192,-108,7114
341,2116,-62,7130
348,2178,-20,7124
354,2136,36,7150
362,2136,-70,7166
368,2126,-110,7174
375,2178,-164,7150
382,2176,-108,7136
390,2218,-160,7148
396,2200,-106,7106
403,2178,-92,7106
410,2222,-92,7230
417,2238,-28,7192
424,2278,-102,7144
431,2114,-162,6950
439,2084,-114,7006
445,2166,-130,7126
452,2164,-78,7160
458,2210,-44,7064
465,2180,-50,7106
472,2178,-20,7118
479,2184,-12,7140
486,2314,2,7288
493,2392,-14,7252
500,2342,-88,7086
507,2172,-80,7092
514,2178,-28,7016
521,2196,-52,7198
528,2194,-66,7096
535,2094,-90,6912
542,2090,-120,7084
549,2152,-88,7068
555,2230,-60,7108
562,2208,-16,6990
569,2174,-76,7120
576,2272,-62,7202
583,2346,-38,7306
590,2404,26,7258
597,2202,-50,7140
604,2120,-82,7038
611,2124,-58,6962
618,2136,-58,7036
625,2088,-74,7020
632,2118,-66,7042
638,2200,-66,7274
645,2300,-64,7194
652,2266,-72,7074
659,2194,-48,7164
666,2202,-74,7140
673,2130,-166,7050
680,2102,-86,7050
687,2134,-140,6976
694,2156,-184,6976
701,2122,-214,6954
708,2152,-244,6946
715,2172,-290,7060
722,2320,-178,7172
728,2190,-34,7230
735,2190,-18,7062
742,2282,-52,7178
749,2278,-120,7158
756,2334,-48,6998
763,2254,-134,7048
770,2144,-264,7096
777,2314,-152,7190
784,2432,-62,7160
791,2330,-492,7262
799,2294,-28,7154
805,2190,-8,7110
812,2182,2,7202
819,2286,-96,7298
825,2372,-136,7300
832,2358,-250,7336
839,2366,-234,7324
846,2204,-186,7176
853,2188,-250,7030
860,2266,-144,7060
867,2370,-56,7172
874,2036,172,6922
881,2314,118,7110
887,2210,-76,7098
895,2098,-238,6956
902,2076,-202,7046
909,2112,-244,7170
915,2152,-276,7142
922,2282,-184,7128
929,2180,-164,7152
936,2206,-156,7084
943,2134,-64,7178
951,1950,-192,7004
957,2040,-330,7050
964,2194,-230,7136
971,2196,-194,7140
978,2230,-206,7206
984,2308,-134,7202
992,2210,-202,7146
999,2118,-324,7064
1006,2240,-270,7084
1012,2122,-182,7098
1020,2252,-194,7120
1026,2164,-228,7106
1033,2156,-260,7092
1040,2212,-156,7158
1047,2316,-80,7256
1054,2330,-46,7160
1061,2250,-88,7162
1068,2082,-196,6968
1075,2054,-230,7080
1082,2062,-180,7044
1089,2258,-192,7204
1096,2222,-258,7210
1103,2150,-280,7236
1110,2236,-80,7274
1116,2296,-34,7122
1123,2206,-82,7180
1130,2236,-126,7194
1137,2262,-106,7204
1144,2226,-164,7258
1151,2236,-250,7080
1158,2172,-286,7152
1165,2154,-116,7096
1172,2202,-66,7150
1179,2182,-120,7050
1186,2198,-140,7142
1193,2250,-52,7158
1199,2338,-62,7162
1206,2282,-130,7132
1213,2214,-118,7160
1220,2248,-112,7230
1227,2254,-202,7172
1234,2216,-62,7222
1241,2278,-98,7184
1248,2194,-166,7100
1255,2182,-126,7052
1262,2256,-34,7120
1269,2258,20,7192
1276,2188,-126,7138
1283,2240,-164,7100
1289,2188,-128,7144
1296,2214,-222,7166
1303,2126,-208,7144
1311,2136,-210,7066
1317,2116,-100,7138
1324,2174,-200,7122
1331,2180,-222,7204
1338,2232,-252,7216
1345,2200,-214,7116
1352,2250,-230,7098
1359,2216,-274,7208
1366,2238,-220,7120
1372,2254,-38,7166
1379,2254,-78,7116
1386,2198,-108,7208
1393,2178,-102,7120
1400,2222,-218,7174
1407,2244,-170,7220
1414,2214,-166,7156
1421,2266,-130,7000
1428,2194,-238,7150
1435,2240,-182,7122
1442,2192,-134,7148
1449,2146,-140,7148
1456,2168,-106,7156
1463,2266,-136,7174
1469,2202,-176,7192
1476,2192,-130,7020
1483,2210,-138,7152
1490,2234,-212,7100
1497,2184,-200,7108
1504,2196,-148,7166
1511,2164,-172,7124
1518,2096,-106,7282
1525,2264,-118,7374
1532,2292,8,7366
1539,2142,56,7414
1546,2128,76,7306
1553,2178,72,7264
1559,2228,134,7184
1566,1888,182,7104
1573,1842,-42,7120
1580,1942,14,6992
1587,1812,-234,7168
1595,2052,68,7246
1601,2280,12,7476
1608,1488,1620,7606
1615,138,1308,7218
1622,808,2954,7958
1629,3180,1854,7894
1636,2684,1326,8736
1643,2664,1006,8230
1650,3010,-444,8538
1657,3310,-944,9208
1664,2774,-1190,9274
1671,2330,-740,8648
1678,1892,-42,8200
1684,1552,608,7844
1691,1258,932,7672
1698,1072,1078,7660
1705,818,1084,7694
1712,524,1058,7776
1721,306,1186,7866
1726,106,1362,7734
1734,-64,1630,7736
1740,-158,1690,7726
1747,-324,1756,7650
1754,-314,1588,7516
1762,-210,1252,7762
1768,28,602,7928
1775,146,22,8182
1782,72,-562,8284
1789,94,-822,8354
1796,100,-926,8282
1803,110,-874,8162
1810,80,-802,7988
1817,138,-698,7802
1824,276,-666,7750
1831,486,-616,7688
1838,770,-560,7702
1844,1040,-632,7660
1852,1252,-776,7424
1858,1430,-978,7258
1865,1666,-998,7110
1872,1874,-1036,6892
1879,2028,-1052,6730
1886,2214,-1002,6594
1893,2538,-920,6818
1900,2980,-900,7016
